signal_group,features,n_features,split_strategy,teacher_roc_auc,teacher_average_precision,teacher_brier_score,teacher_f1_at_0_5,observed_proxy_roc_auc
all_signals,"depth_valid_ratio, mean_depth, depth_std, temporal_local_distance, temporal_excess_score, embedding_shift, trajectory_residual, progress_slope, depth_corruption_score, progress_stagnation_score, calibration_gap_score, coverage_risk_score",12,group_shuffle_by_source_file,0.9973163737960444,0.992461365673056,0.017315498711506585,0.9505703422053232,0.6247596153846154
all_except_temporal,"depth_valid_ratio, mean_depth, depth_std, embedding_shift, trajectory_residual, progress_slope, depth_corruption_score, progress_stagnation_score, calibration_gap_score, coverage_risk_score",10,group_shuffle_by_source_file,0.9972796117932505,0.9923880796776491,0.01795933428805305,0.9509433962264151,0.6618750000000001
all_student_features,"depth_valid_ratio, mean_depth, depth_std, temporal_local_distance, embedding_shift, trajectory_residual, progress_slope",7,group_shuffle_by_source_file,0.9919123593853394,0.9822989605458111,0.025566126960582487,0.9438202247191011,0.7072596153846155
trajectory_only,"trajectory_residual, progress_slope, progress_stagnation_score",3,group_shuffle_by_source_file,0.8590452907874422,0.7793391298340383,0.11599893120080755,0.7692307692307693,0.8545673076923077
temporal_only,"temporal_local_distance, temporal_excess_score",2,group_shuffle_by_source_file,0.7649437541357254,0.6212169768278577,0.15807147764317195,0.5198237885462555,0.9172596153846153
calibration_only,calibration_gap_score,1,group_shuffle_by_source_file,0.7609550768325858,0.581080048624458,0.17519818736966644,0.547085201793722,0.9163461538461539
all_except_trajectory,"depth_valid_ratio, mean_depth, depth_std, temporal_local_distance, temporal_excess_score, embedding_shift, depth_corruption_score, calibration_gap_score, coverage_risk_score",9,group_shuffle_by_source_file,0.7592272627012719,0.624971290179966,0.15443095034316623,0.5070422535211268,0.8091346153846154
embedding_only,embedding_shift,1,group_shuffle_by_source_file,0.7267388427321521,0.5624018154481496,0.17027454713838128,0.4686192468619247,0.9096153846153846
coverage_only,coverage_risk_score,1,group_shuffle_by_source_file,0.7195978236894346,0.5937093608879049,0.17221420644739882,0.5126050420168067,0.9174519230769231
depth_only,"depth_valid_ratio, mean_depth, depth_std, depth_corruption_score",4,group_shuffle_by_source_file,0.6977703845305492,0.5245476290410052,0.17434083503878645,0.45132743362831856,0.6350961538461539
